gene_id,group,RNA_Leaf_Zone_3_Growth,RNA_Root_Meristem_Zone_5_Days,Protein_Leaf_Zone_3_Growth,Protein_Root_Meristem_Zone_5_Days
Zm00001d022554,train,4.62911934059,4.91156513621,4.62911934059,4.91156513621
Zm00001d019129,val,0.0,0.0,0.0,0.0
Zm00001d014314,train,1.0462422486299998,1.42304362731,1.0462422486299998,1.42304362731
Zm00001d023940,val,0.0,0.0,0.0,0.0
Zm00001d016956,train,4.06960641432,2.66096266995,4.06960641432,2.66096266995
Zm00001d048017,train,2.4313341255900003,1.9717869776499999,2.4313341255900003,1.9717869776499999
Zm00001d040611,train,0.0666127533469,2.6150110198500003,0.0666127533469,2.6150110198500003
Zm00001d017798,train,2.47148448417,1.1574621823,2.47148448417,1.1574621823
Zm00001d033535,train,6.875358254139999,9.9497454287,6.875358254139999,9.9497454287
Zm00001d039504,train,0.008332580846420001,0.0073573448887600005,0.008332580846420001,0.0073573448887600005
Zm00001d032052,test,0.0154373668097,0.0,0.0154373668097,0.0
Zm00001d041426,train,0.0266601422756,0.0343244802725,0.0266601422756,0.0343244802725
Zm00001d029096,train,1.96727118905,1.6239015370299998,1.96727118905,1.6239015370299998
Zm00001d033097,val,0.0,0.0,0.0,0.0
Zm00001d031817,test,6.12645965993,5.56848556941,6.12645965993,5.56848556941
Zm00001d051227,train,4.95722096761,4.0506333134300005,4.95722096761,4.0506333134300005
Zm00001d002386,train,5.41647742079,4.4010957373,5.41647742079,4.4010957373
Zm00001d028536,train,6.21351613434,5.11061835905,6.21351613434,5.11061835905
Zm00001d049436,val,0.0,0.0,0.0,0.0
Zm00001d023534,val,4.4573796016400005,2.3549958145,4.4573796016400005,2.3549958145
Zm00001d017862,train,3.0201201585,1.80220881593,3.0201201585,1.80220881593
Zm00001d032022,train,0.0,0.712991305597,0.0,0.712991305597
Zm00001d012662,train,4.85755274712,4.10914614943,4.85755274712,4.10914614943
Zm00001d049336,val,0.0124227358959,7.3040171468600015,0.0124227358959,7.3040171468600015
Zm00001d034077,train,5.96937361197,5.62868294602,5.96937361197,5.62868294602
Zm00001d039618,train,1.1745683158,0.347004268643,1.1745683158,0.347004268643
Zm00001d007802,test,3.87751571725,2.45778951068,3.87751571725,2.45778951068
Zm00001d021993,test,5.18311240594,4.76668143681,5.18311240594,4.76668143681
Zm00001d047054,train,5.12063461986,6.14714636646,5.12063461986,6.14714636646
Zm00001d034739,train,4.74215874208,4.04068144917,4.74215874208,4.04068144917
Zm00001d003242,test,4.52784497456,6.390325145479999,4.52784497456,6.390325145479999
Zm00001d047594,train,3.3746541719599996,4.4743272459900005,3.3746541719599996,4.4743272459900005
Zm00001d045580,train,2.27858793679,2.62831491626,2.27858793679,2.62831491626
Zm00001d016195,train,0.159261552015,0.159323540062,0.159261552015,0.159323540062
Zm00001d051525,train,2.6451764467200003,2.9653161300999997,2.6451764467200003,2.9653161300999997
Zm00001d043216,train,0.0,0.0,0.0,0.0
Zm00001d034819,train,0.0,0.0,0.0,0.0
Zm00001d047495,train,0.0222282729044,0.0,0.0222282729044,0.0
Zm00001d031101,val,3.95708574209,4.01448290727,3.95708574209,4.01448290727
Zm00001d026129,train,4.81894760505,5.57678700576,4.81894760505,5.57678700576
Zm00001d046317,test,6.79845817463,9.14668594732,6.79845817463,9.14668594732
Zm00001d035947,train,3.51731529675,3.19986068959,3.51731529675,3.19986068959
Zm00001d051964,train,0.0425558103109,0.0167541626693,0.0425558103109,0.0167541626693
Zm00001d035766,train,1.19039032756,1.67612088852,1.19039032756,1.67612088852
Zm00001d011304,train,0.0,1.94017258732,0.0,1.94017258732
Zm00001d013326,train,0.046921856684699996,0.0,0.046921856684699996,0.0
